"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","324.355","323.902","324.355","323.902","","0.11%"
"09/19/2023","324.000","323.750","325.000","323.750","","-0.08%"
"09/18/2023","324.250","323.500","324.625","323.125","","0.46%"
"09/15/2023","322.750","323.250","323.625","322.500","","-0.08%"
"09/14/2023","323.000","323.500","324.250","322.750","","0.31%"
"09/13/2023","322.000","322.000","323.875","321.750","","-0.08%"
"09/12/2023","322.250","321.875","322.875","321.750","","0.39%"
"09/11/2023","321.000","321.750","322.625","321.325","","0.00%"
"09/08/2023","321.000","322.000","322.500","321.125","","-0.31%"
"09/07/2023","322.000","322.250","322.725","321.875","","0.31%"
"09/06/2023","321.000","321.500","322.500","320.500","","0.00%"
"09/05/2023","321.000","320.250","322.400","318.500","","0.31%"
"09/04/2023","320.000","319.125","320.750","318.500","","0.47%"
"09/01/2023","318.500","319.500","319.675","318.000","","0.00%"
"08/31/2023","318.500","320.500","320.500","318.500","","-1.01%"
"08/30/2023","321.758","321.450","321.758","319.642","","0.39%"
"08/29/2023","320.500","323.750","324.250","320.500","","-1.00%"
"08/28/2023","323.750","324.000","324.500","323.450","","0.23%"
"08/25/2023","323.000","324.000","324.500","323.500","","0.00%"
"08/24/2023","323.000","324.000","324.500","323.500","","0.00%"
"08/23/2023","323.000","323.500","324.500","323.250","","-0.15%"
"08/22/2023","323.500","323.750","324.500","322.000","","0.15%"
"08/21/2023","323.000","324.000","324.350","322.750","","0.00%"
"08/18/2023","323.000","322.000","324.250","322.000","","0.47%"
"08/17/2023","321.500","321.000","322.500","320.500","","0.16%"
"08/16/2023","321.000","320.250","321.625","319.500","","0.31%"
"08/15/2023","320.000","322.000","322.000","320.000","","-0.31%"
"08/14/2023","321.000","320.000","321.750","319.500","","0.63%"
"08/11/2023","319.000","319.750","320.250","319.125","","0.00%"
"08/10/2023","319.000","319.500","320.500","319.000","","-0.16%"
"08/09/2023","319.500","320.250","321.250","317.500","","0.00%"
"08/08/2023","319.500","322.000","322.250","319.000","","-0.78%"
"08/07/2023","322.000","321.000","323.250","319.500","","0.63%"
"08/04/2023","320.000","318.500","323.000","317.000","","1.27%"
"08/03/2023","316.000","315.000","320.500","314.500","","0.96%"
"08/02/2023","313.000","317.500","317.500","312.000","","-1.92%"
"08/01/2023","319.129","320.216","321.411","319.129","","0.67%"
"07/31/2023","317.000","329.000","330.000","318.000","","-3.35%"
"07/28/2023","328.000","329.100","330.250","328.500","","0.00%"
"07/27/2023","328.000","329.000","329.875","328.250","","0.00%"
"07/26/2023","328.000","332.000","332.250","328.750","","-0.61%"
"07/25/2023","330.000","329.000","332.000","328.500","","0.30%"
"07/24/2023","329.000","328.500","330.500","327.750","","0.77%"
"07/21/2023","326.500","326.000","327.750","325.500","","0.77%"
"07/20/2023","324.000","323.500","326.450","323.250","","0.31%"
"07/19/2023","323.000","323.500","324.500","322.000","","0.31%"
"07/18/2023","322.000","321.500","323.500","321.000","","0.31%"
"07/17/2023","321.000","320.750","323.500","320.750","","0.94%"
"07/14/2023","318.000","318.000","320.750","317.500","","0.32%"
"07/13/2023","317.000","315.500","318.750","313.000","","0.96%"
"07/12/2023","314.000","313.250","316.250","312.000","","0.32%"
"07/11/2023","313.000","312.500","314.875","312.250","","0.97%"
"07/10/2023","310.000","310.000","313.250","310.000","","0.32%"
"07/07/2023","309.000","310.500","312.375","309.500","","0.00%"
"07/06/2023","309.000","307.500","310.500","306.750","","0.98%"
"07/05/2023","306.000","307.500","307.500","305.750","","0.00%"
"07/04/2023","306.000","307.500","307.625","305.500","","-0.55%"
"07/03/2023","307.699","306.037","307.699","306.037","","-0.11%"
"06/30/2023","308.034","307.201","308.812","307.201","","0.27%"
"06/29/2023","307.201","307.185","308.359","307.185","","-0.10%"
"06/28/2023","307.500","308.250","309.250","306.750","","-0.16%"
"06/27/2023","308.000","309.000","310.000","307.750","","0.16%"
"06/26/2023","307.500","307.500","309.750","306.000","","0.00%"
"06/23/2023","307.500","306.500","308.250","306.500","","0.49%"
"06/22/2023","306.000","306.500","307.500","306.450","","0.00%"
"06/21/2023","306.000","307.000","308.000","306.000","","0.00%"
"06/20/2023","306.000","306.000","307.500","305.500","","0.00%"
"06/19/2023","306.000","304.500","307.000","304.000","","-0.49%"
"06/16/2023","307.500","307.500","312.250","305.000","","0.49%"
"06/15/2023","306.000","318.500","326.000","303.500","","-2.86%"
"06/14/2023","315.000","316.000","321.000","307.000","","2.94%"
"06/13/2023","306.000","300.000","307.250","300.000","","1.83%"
"06/12/2023","300.500","295.500","301.500","295.500","","1.69%"
"06/09/2023","295.500","294.500","297.500","292.500","","0.51%"
"06/08/2023","294.000","291.000","295.250","290.000","","1.03%"
"06/07/2023","291.000","291.500","292.000","289.500","","-0.17%"
"06/06/2023","291.500","291.000","292.000","289.250","","0.52%"
"06/05/2023","290.000","292.000","292.250","289.250","","0.00%"
"06/02/2023","290.000","294.000","294.000","290.000","","-1.19%"
"06/01/2023","293.500","290.500","294.900","289.500","","1.21%"
"05/31/2023","290.000","293.000","294.750","289.750","","-1.36%"
"05/30/2023","294.000","296.500","297.250","294.000","","-0.68%"
"05/29/2023","296.000","296.000","297.250","295.000","","-0.34%"
"05/26/2023","297.000","301.750","301.750","296.750","","-1.66%"
"05/25/2023","302.000","303.000","304.500","301.700","","-0.33%"
"05/24/2023","303.000","304.500","304.500","302.450","","-0.49%"
"05/23/2023","304.500","305.000","305.550","303.750","","-0.16%"
"05/22/2023","305.000","306.500","306.750","304.950","","-0.49%"
"05/19/2023","306.500","307.500","308.400","305.750","","0.16%"
"05/18/2023","306.000","305.500","307.650","304.500","","0.33%"
"05/17/2023","305.000","308.850","308.850","305.500","","-1.29%"
"05/16/2023","309.000","311.950","311.950","308.750","","-1.28%"
